address,garage-places,price,rooms,square-foot,neighborhood,city,latitude,longitude,zones
Rua Conceição Vidigal Paulucci ,1.0,310000.0,3.0,66.0,Palmares,Belo Horizonte,-19.8722223,-43.938721,Nordeste
Rua Itapemirim ,1.0,420000.0,3.0,121.0,Serra,Belo Horizonte,-19.942389,-43.919246,Centro-Sul
Rua Abre Campo ,2.0,679950.0,3.0,70.0,Santo Antônio,Belo Horizonte,-19.9469951,-43.9437344,Centro-Sul
"Rua Machado Nunes, 176 ",1.0,229000.0,2.0,54.0,Salgado Filho,Belo Horizonte,-19.90054,-43.9700939,Oeste
Rua Nascimento ,1.0,190000.0,2.0,43.0,Araguaia,Belo Horizonte,-19.992469,-44.0041794,Barreiro
Rua Clementino Viana Dotti ,2.0,1100000.0,3.0,170.0,Buritis,Belo Horizonte,-19.9729996,-43.968041,Oeste
"Rua Engenheiro Alberto Pontes, 15 ",2.0,620000.0,3.0,95.0,Buritis,Belo Horizonte,-19.9689271,-43.9668895,Oeste
"Rua Alvarenga Peixoto, 1337 ",3.0,1750000.0,4.0,147.0,Santo Agostinho,Belo Horizonte,-19.929576,-43.9494157,Centro-Sul
Rua dos Pampas ,3.0,920000.0,3.0,91.0,Prado,Belo Horizonte,-19.9194022,-43.9645434,Oeste
Rua Alagoas ,1.0,495000.0,1.0,48.0,Savassi,Belo Horizonte,-19.9314695,-43.9350021,Centro-Sul
"Rua Augustus William Parish, 10 ",2.0,350000.0,3.0,73.0,Santa Amélia,Belo Horizonte,-19.8352568,-43.9721231,Pampulha
"Rua Passa Tempo, 335 ",4.0,1890000.0,4.0,145.0,Carmo,Belo Horizonte,-19.9458256,-43.9307955,Centro-Sul
Rua General Andrade Neves ,2.0,690000.0,3.0,130.0,Gutierrez,Belo Horizonte,-19.9313904,-43.9613745,Oeste
Rua dos Expedicionários ,2.0,450000.0,3.0,190.0,Santa Amélia,Belo Horizonte,-20.2252407,-44.3977797,Pampulha
